switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_prod_frac,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
75,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,10,0.6,8,2,1.0,-0.8,1,-0.8,1,-1.0,0,True,47
65,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,10,0.2,6,4,1.0,-0.6,2,-0.6,2,-1.0,0,True,27
75,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,10,0.2,6,4,1.0,-1.0,0,-0.2,4,-1.0,0,True,44
55,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,10,0.0,5,5,0.0,-0.6,2,-0.4,3,-1.0,0,True,17
55,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,10,0.0,5,5,0.0,-0.2,4,-0.8,1,-1.0,0,True,21
55,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,10,0.0,5,5,0.0,-0.8,1,-0.2,4,-1.0,0,True,22
55,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,10,0.0,5,5,0.0,-0.2,4,-0.8,1,-1.0,0,True,23
65,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,10,0.0,5,5,0.0,-0.4,3,-0.6,2,-1.0,0,True,31
85,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,10,0.0,5,5,0.0,-0.6,2,-0.4,3,-1.0,0,True,57
45,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,10,-0.2,4,6,-1.0,-0.4,3,-0.4,3,-1.0,0,True,0
45,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,10,-0.2,4,6,-1.0,-0.4,3,-0.4,3,-1.0,0,True,8
45,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,10,-0.2,4,6,-1.0,-0.4,3,-0.4,3,-1.0,0,True,9
45,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,10,-0.2,4,6,-1.0,-0.6,2,-0.2,4,-1.0,0,True,10
55,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,10,-0.2,4,6,-1.0,-0.4,3,-0.4,3,-1.0,0,True,12
55,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,10,-0.2,4,6,-1.0,-0.4,3,-0.4,3,-1.0,0,True,19
75,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,10,-0.2,4,6,-1.0,-0.4,3,-0.4,3,-1.0,0,True,38
75,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,10,-0.2,4,6,-1.0,-0.6,2,-0.2,4,-1.0,0,True,41
75,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,10,-0.2,4,6,-1.0,-0.6,2,-0.2,4,-1.0,0,True,46
85,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,10,-0.2,4,6,-1.0,-0.4,3,-0.4,3,-1.0,0,True,48
85,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,10,-0.2,4,6,-1.0,-0.2,4,-0.6,2,-1.0,0,True,54
45,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,10,-0.4,3,7,-1.0,-0.2,4,-0.4,3,-1.0,0,True,2
45,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,10,-0.4,3,7,-1.0,-0.4,3,-0.2,4,-1.0,0,True,4
55,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,10,-0.4,3,7,-1.0,-0.4,3,-0.2,4,-1.0,0,True,16
75,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,10,-0.4,3,7,-1.0,-0.6,2,0.0,5,-1.0,0,True,39
75,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,10,-0.4,3,7,-1.0,-0.2,4,-0.4,3,-1.0,0,True,42
85,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,10,-0.4,3,7,-1.0,-0.4,3,-0.2,4,-1.0,0,True,53
85,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,10,-0.4,3,7,-1.0,-1.0,0,0.4,7,-1.0,0,True,58
45,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,10,-0.6,2,8,-1.0,-0.2,4,-0.2,4,-1.0,0,True,6
55,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,10,-0.6,2,8,-1.0,-0.4,3,0.0,5,-1.0,0,True,13
55,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,10,-0.6,2,8,-1.0,-0.2,4,-0.2,4,-1.0,0,True,18
65,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,10,-0.6,2,8,-1.0,0.0,5,-0.4,3,-1.0,0,True,26
65,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,10,-0.6,2,8,-1.0,0.0,5,-0.4,3,-1.0,0,True,28
65,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,10,-0.6,2,8,-1.0,-0.2,4,-0.2,4,-1.0,0,True,30
65,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,10,-0.6,2,8,-1.0,-0.6,2,0.2,6,-1.0,0,True,32
65,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,10,-0.6,2,8,-1.0,0.0,5,-0.4,3,-1.0,0,True,33
65,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,10,-0.6,2,8,-1.0,-0.4,3,0.0,5,-1.0,0,True,34
65,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,10,-0.6,2,8,-1.0,-0.2,4,-0.2,4,-1.0,0,True,35
75,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,10,-0.6,2,8,-1.0,0.0,5,-0.4,3,-1.0,0,True,36
75,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,10,-0.6,2,8,-1.0,-0.2,4,-0.2,4,-1.0,0,True,37
75,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,10,-0.6,2,8,-1.0,-0.6,2,0.2,6,-1.0,0,True,43
75,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,10,-0.6,2,8,-1.0,-0.6,2,0.2,6,-1.0,0,True,45
85,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,10,-0.6,2,8,-1.0,-0.2,4,-0.2,4,-1.0,0,True,50
85,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,10,-0.6,2,8,-1.0,-0.4,3,0.0,5,-1.0,0,True,51
85,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,10,-0.6,2,8,-1.0,-0.4,3,0.0,5,-1.0,0,True,52
85,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,10,-0.6,2,8,-1.0,0.0,5,-0.4,3,-1.0,0,True,56
45,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,0.0,5,-0.2,4,-1.0,0,True,1
45,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,10,-0.8,1,9,-1.0,0.0,5,-0.2,4,-1.0,0,True,3
45,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,0.2,6,-0.4,3,-1.0,0,True,7
45,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,0.0,5,-0.2,4,-1.0,0,True,11
